iter	Logloss
0	0.6799464797
1	0.6682589784
2	0.6579469615
3	0.6488115096
4	0.6407389467
5	0.6336030325
6	0.6269582158
7	0.6213909647
8	0.6164735999
9	0.6065875293
10	0.6028397974
11	0.5995180118
12	0.5960083549
13	0.5921869151
14	0.5898998027
15	0.5878760026
16	0.5860760341
17	0.5844852207
18	0.5830741551
19	0.5818219324
20	0.580708623
21	0.5751786321
22	0.5743585839
23	0.5736271368
24	0.5729793626
25	0.5708099338
26	0.5703099005
27	0.5698693858
28	0.5678719603
29	0.5673078589
30	0.5670028998
31	0.5662210324
32	0.565983174
33	0.5636141218
34	0.5634359446
35	0.5632766141
36	0.5631355888
37	0.563011623
38	0.5629001675
39	0.5616754026
40	0.5615890219
41	0.5601398295
42	0.5600750575
43	0.5600184633
44	0.5585203128
45	0.5565495326
46	0.5565137347
47	0.5564833525
48	0.5552933024
49	0.5516563219
50	0.5516416995
51	0.5516276728
52	0.5516156499
53	0.5516049267
54	0.5513336534
55	0.5511117172
56	0.5511050017
57	0.5510978529
58	0.5510924914
59	0.5510871298
60	0.5510828514
61	0.5510784105
62	0.5510746737
63	0.5510715867
64	0.5499490164
65	0.5455989482
66	0.5455982983
67	0.545597486
68	0.5455975401
69	0.5455962945
70	0.543448691
71	0.5434482578
72	0.5419020699
73	0.5419022866
74	0.5419022866
75	0.5419022324
76	0.5419021782
77	0.5419028281
78	0.5419027198
79	0.5419025032
80	0.5419026115
81	0.5401208399
82	0.5401208399
83	0.5401207315
84	0.5401208399
85	0.5401207315
86	0.5401206774
87	0.5401207315
88	0.5401208399
89	0.5401208399
90	0.5387261838
91	0.5387255881
92	0.5326862488
93	0.5326852739
94	0.5326820786
95	0.5285439817
96	0.5285418696
97	0.5285399199
98	0.5284114049
99	0.5284102134
100	0.528408697
101	0.5284075597
102	0.5279451115
103	0.5274387417
104	0.5250963348
105	0.5250949267
106	0.5190161068
107	0.5190136156
108	0.5189932524
109	0.5189910862
110	0.5189891365
111	0.5189874576
112	0.5189859954
113	0.5189845873
114	0.5182593142
115	0.5182581227
116	0.517602929
117	0.5168216573
118	0.5168199243
119	0.5151108316
120	0.5151092069
121	0.5134640197
122	0.5134627199
123	0.5134614201
124	0.5134583332
125	0.5134570876
126	0.5134560044
127	0.5134551379
128	0.5132898502
129	0.5132888753
130	0.5132878463
131	0.5132874672
132	0.5109519383
133	0.5109507468
134	0.5109495012
135	0.5104234183
136	0.509226436
137	0.5092251362
138	0.5092238906
139	0.5092227533
140	0.5092216702
141	0.509220912
142	0.5092200996
143	0.5092192872
144	0.509081728
145	0.5090808615
146	0.5079956596
147	0.5079932226
148	0.5079928435
149	0.5079921936
150	0.5079917062
151	0.5079914354
152	0.5079905688
153	0.5079904605
154	0.5077822803
155	0.5077817929
156	0.5077815762
157	0.5069738217
158	0.5069736051
159	0.504110206
